,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,Status
57,2286651,Yes,17,30,E2,40.0,15.0,-17.86,No,No,Female,Direct,9,Gurgaon,37.0,5,Joined
58,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,Bangalore,29.0,6,Not Joined
59,2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,Chennai,26.0,1,Joined
60,2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,Noida,33.0,2,Joined
61,2302202,Yes,7,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,Hyderabad,32.0,2,Joined
62,2322849,Yes,19,60,E2,50.0,30.5,-13.0,No,No,Male,Agency,10,Chennai,33.0,1,Not Joined
63,2322986,Yes,84,60,E2,42.86,42.86,0.0,No,No,Male,Agency,9,Chennai,33.0,1,Joined
64,2328123,No,28,30,E1,233.33,233.33,0.0,No,No,Male,Direct,3,Bangalore,30.0,6,Joined
65,2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,Chennai,33.0,1,Joined
66,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,Chennai,27.0,1,Not Joined
67,2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,Chennai,29.0,1,Joined
68,2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,Chennai,30.0,1,Joined
69,2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,Chennai,37.0,8,Joined
70,2351866,Yes,10,30,E1,-15.32,-15.32,0.0,No,No,Male,Employee Referral,5,Bangalore,29.0,6,Joined
71,2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,Noida,25.0,2,Joined
72,2352237,No,0,0,E1,11.11,-16.67,-25.0,No,No,Female,Direct,1,Noida,24.0,2,Joined
73,2354362,Yes,0,0,E1,11.11,-16.67,-25.0,No,No,Female,Direct,1,Noida,23.0,2,Joined
74,2356737,No,16,30,E1,0.0,-30.46,-30.46,No,No,Male,Direct,1,Bangalore,24.0,1,Joined
75,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,Bangalore,31.0,4,Not Joined
76,2364321,Yes,90,45,E3,150.0,48.5,-40.6,No,No,Female,Direct,10,Bangalore,36.0,1,Joined
77,2364483,Yes,14,30,E1,-13.33,-13.33,0.0,No,No,Male,Direct,2,Noida,29.0,2,Joined
78,2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,Chennai,32.0,2,Joined
79,2365129,No,4,30,,42.86,42.86,0.0,No,No,Male,Direct,2,Cochin,24.0,2,Not Joined
80,2368400,No,0,30,E1,-6.25,-6.25,0.0,No,No,Male,Direct,0,Chennai,32.0,6,Joined
81,2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,Chennai,28.0,1,Joined
82,2372840,Yes,21,30,E1,-25.52,-25.52,0.0,No,No,Male,Direct,1,Chennai,23.0,2,Joined
83,2377978,No,36,30,E1,77.78,94.44,9.38,No,No,Male,Direct,1,Bangalore,24.0,1,Joined
84,2377993,No,17,30,E1,150.0,250.0,40.0,No,No,Female,Direct,1,Bangalore,27.0,1,Joined
85,2378003,No,0,30,E1,25.0,62.5,30.0,No,No,Male,Direct,2,Bangalore,27.0,1,Joined
86,2378097,Yes,34,30,E1,75.0,75.0,0.0,No,No,Male,Direct,2,Chennai,25.0,1,Joined
87,2378111,No,34,30,E1,0.0,32.81,32.81,No,No,Male,Direct,3,Bangalore,29.0,1,Joined
88,2378829,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,Bangalore,29.0,2,Joined
89,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,Chennai,41.0,8,Not Joined
90,2383202,No,13,30,E1,50.0,50.0,0.0,No,No,Female,Agency,3,Hyderabad,32.0,1,Joined
91,2398717,No,2,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,Bangalore,33.0,1,Joined
92,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,Chennai,32.0,1,Not Joined
93,2403871,No,1,30,E1,-45.81,-45.81,0.0,No,No,Male,Direct,1,Hyderabad,26.0,2,Joined
94,2407721,Yes,6,30,E1,12.5,-53.75,-58.89,No,No,Male,Agency,1,Chennai,27.0,1,Joined
95,2416792,Yes,8,60,E2,33.33,26.67,-5.0,No,No,Male,Direct,7,Chennai,29.0,1,Joined
96,2417836,Yes,42,45,E2,7.37,7.37,0.0,No,No,Male,Employee Referral,4,Bangalore,26.0,7,Joined
97,2419759,Yes,12,60,E1,208.33,208.33,0.0,No,No,Male,Direct,2,Chennai,29.0,1,Joined
98,2424526,Yes,16,90,E2,11.11,-22.22,-30.0,No,No,Male,Agency,9,Chennai,30.0,1,Joined
99,2437820,Yes,14,60,E3,31.43,20.0,-8.7,No,No,Male,Employee Referral,4,Noida,29.0,2,Joined
100,2440646,Yes,103,45,E2,42.86,42.86,0.0,No,No,Male,Direct,6,Bangalore,35.0,6,Joined
101,2440672,Yes,69,45,E2,62.5,62.5,0.0,No,No,Male,Direct,9,Hyderabad,36.0,6,Joined
102,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,Hyderabad,29.0,6,Not Joined
103,2441165,No,7,30,E2,30.0,60.0,23.08,No,No,Male,Agency,4,Chennai,31.0,2,Joined
104,2441279,No,2,60,E2,32.53,19.28,-10.0,No,No,Male,Employee Referral,6,Bangalore,31.0,4,Not Joined
105,2442101,Yes,38,45,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,3,Noida,27.0,2,Joined
106,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,Chennai,25.0,8,Not Joined
107,2444496,Yes,60,60,E2,38.89,11.11,-20.0,No,No,Male,Direct,6,Bangalore,31.0,6,Not Joined
108,2445042,No,3,30,E2,42.86,42.86,0.0,No,No,Male,Direct,5,Noida,27.0,2,Joined
109,2452418,Yes,32,30,,45.3,19.66,-17.65,No,Yes,Male,Agency,7,Bangalore,30.0,6,Joined
110,2452436,Yes,23,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,Bangalore,34.0,1,Joined
111,2457480,Yes,67,60,E3,25.0,32.68,6.14,No,No,Male,Agency,6,Noida,33.0,2,Joined
112,2458879,No,5,30,E0,22.22,-60.0,-67.27,No,No,Female,Direct,1,Noida,27.0,1,Joined
113,2461027,No,42,60,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,Noida,30.0,2,Joined
114,2461696,No,8,30,E1,-30.0,0.0,42.86,No,No,Male,Employee Referral,7,Bangalore,30.0,1,Joined
115,2464247,No,7,30,E2,28.3,28.3,0.0,No,No,Male,Agency,7,Chennai,29.0,2,Not Joined
116,2464457,Yes,5,30,E1,208.33,150.0,-18.92,No,No,Male,Agency,3,Bangalore,28.0,1,Joined
117,2464782,No,10,30,E3,-25.0,-20.39,6.14,No,No,Male,Agency,13,Chennai,50.0,2,Joined
118,2468663,No,5,30,E1,51.52,66.67,10.0,No,No,Male,Direct,1,Bangalore,25.0,1,Joined
119,2468764,No,5,30,E1,51.52,70.45,12.5,No,No,Male,Direct,2,Bangalore,24.0,1,Joined
120,2473555,No,12,30,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,Noida,31.0,2,Joined
121,2474614,No,15,0,E3,-11.97,-11.97,0.0,No,Yes,Male,Employee Referral,11,Chennai,35.0,1,Joined
122,2474728,Yes,45,60,E2,25.0,18.75,-5.0,No,No,Male,Direct,7,Bangalore,35.0,4,Not Joined
123,2474750,No,10,30,E1,250.0,250.0,0.0,No,No,Male,Direct,1,Chennai,23.0,1,Joined
124,2478398,Yes,7,30,E2,323.08,314.53,-2.02,No,No,Male,Agency,4,Noida,31.0,2,Joined
125,2478695,Yes,7,30,E1,25.0,17.19,-6.25,No,No,Male,Employee Referral,7,Bangalore,31.0,1,Joined
126,2479005,Yes,36,30,E1,133.33,75.0,-25.0,No,No,Female,Agency,3,Chennai,27.0,1,Not Joined
127,2480992,No,2,30,E2,30.0,44.0,10.77,No,No,Male,Direct,7,Noida,31.0,2,Joined
128,2481514,No,1,0,E1,-14.44,22.22,42.86,No,No,Female,Employee Referral,5,Chennai,30.0,1,Joined
129,2483538,Yes,25,30,E2,-48.05,42.86,175.0,No,No,Male,Direct,5,Noida,30.0,2,Joined
130,2537835,No,6,30,E2,-40.82,-15.45,42.86,No,No,Male,Agency,6,Chennai,29.0,1,Joined
131,2537925,Yes,47,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,Noida,34.0,2,Joined
132,2537986,Yes,21,30,E3,25.0,31.25,5.0,No,No,Female,Employee Referral,16,Kolkata,40.0,2,Not Joined
133,2544512,Yes,11,30,E2,30.0,80.0,38.46,No,No,Male,Agency,4,Chennai,33.0,2,Joined
134,2556458,No,4,30,E1,-11.56,-11.56,0.0,No,No,Female,Employee Referral,1,Noida,24.0,2,Joined
135,2561022,No,7,30,E1,242.86,42.86,-58.33,No,No,Male,Direct,1,Noida,30.0,2,Joined
136,2561128,No,5,30,E1,42.86,-7.14,-35.0,No,No,Male,Direct,6,Gurgaon,32.0,3,Joined
137,2564986,No,4,30,E2,42.86,42.86,0.0,No,No,Male,Agency,5,Noida,37.0,2,Joined
138,2569520,No,5,30,,-48.25,-48.25,0.0,No,No,Male,Employee Referral,9,Chennai,31.0,2,Joined
139,2575776,No,11,30,E1,327.35,241.88,-20.0,No,No,Male,Direct,3,Chennai,26.0,1,Joined
140,2576352,No,1,30,E2,42.86,42.86,0.0,No,No,Male,Direct,8,Chennai,31.0,2,Joined
141,2586163,No,2,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,Chennai,28.0,1,Joined
142,2586868,Yes,48,30,E3,30.0,80.0,38.46,No,No,Male,Direct,7,Bangalore,31.0,2,Joined
143,2590178,Yes,74,90,E1,40.15,-1.52,-29.73,No,Yes,Male,Direct,8,Bangalore,35.0,1,Joined
144,2590903,Yes,4,30,E2,3.34,3.34,0.0,No,No,Female,Direct,6,Chennai,31.0,8,Joined
145,2591263,No,3,30,E3,-24.24,-24.24,0.0,No,No,Male,Direct,13,Chennai,36.0,2,Joined
146,2591495,No,31,30,E1,-25.71,42.86,92.31,No,Yes,Male,Employee Referral,3,Chennai,27.0,1,Joined
147,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,Chennai,26.0,1,Not Joined
148,2594486,Yes,30,30,E2,-28.57,42.86,100.0,No,No,Male,Direct,5,Chennai,33.0,2,Joined
149,2594579,No,1,30,E1,-14.97,42.86,68.0,No,No,Female,Direct,2,Gurgaon,27.0,2,Joined
150,2598011,Yes,8,30,E2,-24.81,42.86,90.0,No,No,Male,Direct,5,Chennai,36.0,2,Joined
151,2598184,No,3,45,E1,79.17,79.17,0.0,No,No,Female,Direct,3,Noida,27.0,5,Joined
152,2600880,No,0,30,E3,80.95,52.38,-15.79,No,No,Male,Employee Referral,13,Bangalore,37.0,4,Joined
153,2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,Noida,25.0,1,Joined
154,2609241,No,44,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,Bangalore,33.0,4,Joined
155,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,Bangalore,33.0,1,Not Joined
156,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,Bangalore,33.0,1,Not Joined
157,2613742,No,40,30,E1,233.33,233.33,0.0,No,No,Female,Agency,3,Bangalore,26.0,4,Joined
158,2615966,No,11,30,E1,-29.2,-29.2,0.0,No,No,Female,Employee Referral,3,Hyderabad,26.0,5,Not Joined
159,2618791,No,1,30,E2,33.33,20.0,-10.0,No,No,Female,Direct,6,Noida,37.0,7,Joined
160,2635381,Yes,20,30,E1,71.43,50.0,-12.5,No,No,Male,Employee Referral,3,Bangalore,27.0,1,Joined
161,2635429,No,1,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,3,Noida,34.0,2,Joined
162,2635526,Yes,7,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,4,Noida,27.0,2,Joined
163,2635705,Yes,15,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,Chennai,33.0,1,Joined
164,2635749,No,35,30,E1,215.32,170.27,-14.29,No,No,Male,Direct,3,Chennai,26.0,1,Joined
165,2778998,No,17,30,E1,233.33,191.67,-12.5,No,No,Male,Agency,4,Chennai,27.0,1,Joined
166,2780352,Yes,58,30,E3,30.43,30.43,0.0,No,No,Male,Agency,10,Bangalore,34.0,1,Joined
167,2780669,Yes,29,60,,33.33,266.67,175.0,No,No,Male,Agency,9,Noida,32.0,1,Not Joined
168,2780903,Yes,69,90,E2,32.53,32.53,0.0,No,No,Male,Direct,3,Noida,26.0,2,Joined
169,2781322,Yes,6,90,E2,-11.69,-11.69,0.0,No,No,Male,Employee Referral,7,Chennai,32.0,4,Joined
170,2786502,No,0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,Noida,34.0,2,Joined
171,2790302,Yes,1,30,E3,-12.2,-12.2,0.0,No,No,Male,Employee Referral,10,Hyderabad,36.0,2,Joined
172,2793776,No,7,90,E2,43.79,36.6,-5.0,No,No,Male,Agency,7,Bangalore,32.0,4,Joined
173,2794614,No,0,30,E2,72.41,72.41,0.0,No,No,Male,Agency,4,Bangalore,32.0,2,Joined
174,2795222,Yes,7,30,E2,-24.6,-24.6,0.0,No,No,Male,Direct,5,Chennai,31.0,4,Not Joined
175,2802356,No,1,30,E1,37.5,-50.0,-63.64,No,No,Male,Employee Referral,1,Noida,24.0,2,Joined
176,2804650,Yes,17,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,Bangalore,27.0,1,Joined
177,2807929,No,86,30,E1,-13.19,-13.19,0.0,No,No,Male,Direct,3,Chennai,28.0,4,Joined
178,2814312,Yes,51,90,E2,42.84,42.84,0.0,No,No,Male,Agency,6,Noida,29.0,2,Joined
179,2814340,Yes,29,45,E3,37.06,31.58,-4.0,No,No,Male,Employee Referral,5,Chennai,32.0,2,Joined
180,2814452,Yes,1,30,E2,37.5,35.0,-1.82,No,No,Male,Employee Referral,3,Bangalore,30.0,2,Joined
181,2819665,Yes,26,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,8,Noida,31.0,2,Joined
182,2819712,Yes,0,30,E2,15.38,15.38,0.0,No,No,Male,Direct,10,Bangalore,36.0,8,Joined
183,2823905,No,50,60,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,5,Noida,29.0,2,Joined
184,2824103,Yes,39,30,E1,-31.06,-1.52,42.86,No,No,Male,Agency,5,Hyderabad,29.0,1,Joined
185,2826712,Yes,57,60,E2,34.62,25.0,-7.14,No,No,Male,Employee Referral,7,Noida,31.0,2,Joined
186,2828770,No,0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,Chennai,26.0,2,Joined
187,2828841,No,10,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,Noida,29.0,2,Joined
188,2834484,Yes,0,30,E1,-12.0,-12.0,0.0,No,No,Male,Agency,1,Gurgaon,24.0,2,Joined
189,2834603,No,3,90,E1,-16.67,-16.67,0.0,No,No,Male,Direct,4,Chennai,27.0,4,Joined
190,2839728,No,5,60,E2,-17.07,-14.63,2.94,No,No,Male,Employee Referral,12,Noida,31.0,2,Joined
191,2840929,Yes,32,30,E2,57.14,114.29,36.36,No,No,Male,Direct,4,Chennai,27.0,2,Joined
192,2841169,Yes,93,90,E2,44.44,33.33,-7.69,No,Yes,Male,Employee Referral,3,Chennai,28.0,2,Joined
193,2845533,Yes,30,30,E1,-16.3,19.57,42.86,No,No,Male,Agency,3,Hyderabad,25.0,1,Joined
194,2845929,Yes,55,30,,37.5,25.0,-9.09,No,Yes,Female,Employee Referral,3,Bangalore,25.0,2,Joined
195,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,Hyderabad,32.0,1,Not Joined
196,2850795,No,12,30,E1,-54.04,-34.34,42.86,No,Yes,Male,Employee Referral,6,Chennai,44.0,4,Joined
197,2850802,No,3,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,Chennai,29.0,1,Joined
198,2861481,No,3,30,E1,114.29,90.48,-11.11,No,No,Male,Agency,3,Chennai,26.0,1,Joined
199,2861532,No,23,30,E1,212.5,160.42,-16.67,No,Yes,Male,Agency,2,Chennai,30.0,1,Joined
200,2861816,No,11,60,E2,69.68,58.37,-6.67,No,No,Male,Direct,6,Chennai,34.0,1,Joined
201,2861873,No,0,30,E2,-36.36,-36.36,0.0,No,No,Male,Direct,9,Chennai,32.0,7,Not Joined
202,2861938,Yes,3,60,E3,35.0,45.0,7.41,No,No,Male,Direct,8,Pune,30.0,2,Not Joined
203,2863789,No,1,30,E2,29.41,35.29,4.55,No,No,Male,Employee Referral,6,Noida,33.0,7,Joined
204,2865940,Yes,71,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,6,Noida,30.0,2,Joined
205,2866433,Yes,40,60,E2,57.14,39.29,-11.36,No,No,Female,Direct,7,Bangalore,32.0,4,Joined
206,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,Bangalore,34.0,4,Not Joined
207,2930426,Yes,5,45,E1,-25.0,-43.75,-25.0,Yes,No,Male,Direct,2,Chennai,27.0,1,Not Joined
208,2945577,No,56,90,E2,66.08,55.0,-6.67,No,No,Male,Agency,8,Bangalore,30.0,4,Joined
209,3029497,No,1,30,E2,50.0,58.33,5.56,No,No,Male,Direct,3,Noida,27.0,2,Joined
210,3029512,Yes,2,60,E2,42.86,42.86,0.0,No,No,Female,Direct,8,Chennai,31.0,2,Joined
211,3030928,Yes,15,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,5,Noida,30.0,2,Joined
212,3034334,Yes,37,30,E1,180.9,124.72,-20.0,No,No,Female,Agency,3,Chennai,26.0,1,Not Joined
213,3034476,Yes,6,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,Noida,32.0,2,Joined
214,3034980,No,0,30,E2,36.36,60.0,17.33,No,No,Male,Direct,6,Bangalore,32.0,2,Not Joined
215,3037418,No,40,30,E1,56.86,27.45,-18.75,No,No,Male,Direct,4,Bangalore,34.0,7,Joined
216,3040819,No,18,30,E1,280.95,280.95,0.0,No,No,Male,Direct,2,Chennai,26.0,1,Joined
217,3046539,No,12,30,E1,170.27,75.68,-35.0,No,No,Male,Employee Referral,2,Bangalore,29.0,1,Joined
218,3046652,Yes,1,60,E1,60.0,26.0,-21.25,No,No,Male,Agency,4,Noida,28.0,1,Joined
219,3108736,Yes,5,30,E3,42.59,42.59,0.0,No,No,Male,Employee Referral,9,Noida,42.0,2,Joined
220,3110300,Yes,15,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,Others,26.0,2,Joined
221,3120254,Yes,39,90,E2,46.24,46.24,0.0,No,No,Male,Agency,6,Chennai,37.0,1,Not Joined
222,3188371,Yes,1,30,E1,44.44,-41.33,-59.38,No,No,Female,Employee Referral,1,Noida,24.0,2,Joined
223,3200275,No,12,30,E2,48.15,33.33,-10.0,Yes,Yes,Male,Agency,4,Hyderabad,26.0,1,Joined
224,3200724,No,18,60,E2,45.45,39.39,-4.17,Yes,No,Male,Direct,8,Noida,32.0,6,Joined
225,3203880,No,7,30,E1,114.29,117.86,1.67,No,No,Male,Employee Referral,2,Bangalore,25.0,1,Joined
226,3204472,Yes,24,30,E1,-33.33,-38.89,-8.33,No,No,Male,Employee Referral,6,Chennai,26.0,1,Joined
227,3211382,No,4,30,,42.85,42.85,0.0,No,No,Male,Agency,4,Bangalore,30.0,2,Joined
228,3211556,Yes,66,60,E3,-19.23,15.38,42.86,No,No,Male,Employee Referral,13,Noida,35.0,1,Joined
229,3215106,Yes,4,30,E1,203.51,184.54,-6.25,No,No,Male,Direct,1,Chennai,26.0,1,Joined
230,3215514,No,3,30,E1,-38.4,-12.0,42.86,No,No,Male,Employee Referral,3,Chennai,28.0,4,Joined
231,3215757,Yes,21,30,E1,233.33,127.27,-31.82,No,No,Male,Agency,5,Chennai,27.0,1,Joined
232,3221299,Yes,68,30,E2,44.44,0.0,-30.77,No,Yes,Female,Direct,3,Hyderabad,24.0,2,Joined
233,3225344,Yes,3,30,E3,32.78,28.63,-3.13,No,Yes,Male,Agency,12,Bangalore,35.0,4,Joined
234,3225955,Yes,62,30,E1,40.68,34.69,-4.26,No,No,Male,Employee Referral,4,Chennai,27.0,1,Not Joined
